yrmth,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_temp,mean_rh,wbt_mean,wbt_max,asian_civilisations_museum,national_museum_of_singapore,singapore_art_museum,singapore_philatelic_museum,peranakan_museum,science_centre_singapore,jurong_birdpark,night_safari,river_wonders,zoo,chinese/japanese_garden,sun_yat_sen_nanyang_memorial_hall,indian_heritage_centre,malay_heritage_centre,year,month
2013-05-01,46.2,17.0,211.4,5.4,28.2,83.1,25.8,28.0,36.7,79.3,54.2,13.9,28.2,69.7,72.9,96.6,58.3,135.4,57.3,,,,2013,5
2013-06-01,22.4,12.0,111.4,6.4,29.0,74.6,25.3,28.1,34.3,97.6,90.3,14.2,38.3,85.4,69.0,96.8,78.7,143.2,58.9,,,,2013,6
2013-07-01,37.4,15.0,174.6,5.7,27.8,79.9,25.0,27.3,35.2,106.3,65.7,9.3,35.0,84.4,73.1,116.9,62.2,175.4,69.9,,,,2013,7
2013-08-01,43.2,15.0,165.6,6.1,27.9,79.0,25.0,26.9,42.3,194.7,113.5,11.6,68.8,88.7,77.1,136.7,86.7,182.9,60.4,,,,2013,8
2013-09-01,52.6,19.0,257.0,4.6,27.5,81.3,25.0,26.9,40.9,108.3,41.1,8.0,30.3,45.4,50.6,77.9,65.8,127.4,39.8,,,,2013,9
2013-10-01,139.8,19.0,285.4,6.3,27.7,79.9,25.0,26.9,42.6,104.0,62.8,7.4,35.8,63.7,59.7,94.5,63.3,132.2,60.0,,,,2013,10
2013-11-01,44.0,22.0,292.4,4.5,27.1,84.6,25.1,27.0,39.3,103.5,72.6,8.2,39.1,116.8,55.1,78.0,77.6,127.4,58.4,,,,2013,11
2013-12-01,119.8,21.0,348.2,3.5,26.5,85.8,24.6,27.0,30.5,113.9,61.2,8.7,36.9,111.7,76.0,110.0,168.7,183.9,64.6,,,,2013,12
2014-01-01,31.2,5.0,75.4,5.3,26.2,78.5,23.4,26.2,36.5,105.7,71.7,9.4,33.5,59.9,60.4,105.7,103.0,135.7,82.7,4.1,,11.6,2014,1
2014-02-01,0.2,1.0,0.2,8.8,27.2,74.5,23.7,25.9,37.7,112.2,67.5,10.1,30.2,58.6,58.0,96.4,102.2,134.7,79.7,8.1,,12.1,2014,2
2014-03-01,52.6,6.0,66.0,8.0,27.9,76.0,24.5,27.0,49.4,71.4,50.6,10.2,27.6,52.6,52.1,89.2,123.0,131.5,99.1,3.5,,15.4,2014,3
2014-04-01,28.8,17.0,110.0,5.7,28.2,80.0,25.5,27.0,46.5,62.4,54.7,10.2,25.4,41.2,58.5,87.5,86.1,132.9,94.8,2.8,,13.0,2014,4
2014-05-01,22.2,18.0,125.8,5.8,28.6,80.2,25.8,27.7,38.6,84.3,52.4,10.6,27.5,52.7,74.8,101.8,94.9,138.5,88.3,9.0,,15.4,2014,5
2014-06-01,18.8,11.0,71.4,6.0,29.0,77.5,25.9,27.8,25.7,75.3,49.6,20.3,32.2,108.7,66.0,98.7,118.0,141.7,93.8,7.6,,12.2,2014,6
2014-07-01,29.0,15.0,148.6,5.5,28.7,78.3,25.7,27.1,44.8,74.0,48.4,15.0,37.0,130.2,70.8,122.6,93.3,155.7,78.5,6.7,,15.4,2014,7
2014-08-01,44.2,20.0,241.0,4.5,27.7,79.7,24.9,26.6,28.4,102.0,109.3,19.5,80.0,99.2,73.9,136.8,94.4,169.4,65.9,6.6,,17.9,2014,8
2014-09-01,34.6,9.0,83.6,7.0,28.5,75.6,25.1,26.9,27.9,63.7,47.7,9.5,31.9,64.0,44.7,77.6,68.3,118.3,56.6,8.8,,12.3,2014,9
2014-10-01,32.8,10.0,120.0,6.0,28.4,77.0,25.2,26.9,33.2,50.5,68.4,9.8,30.9,70.8,59.7,96.6,84.7,129.9,78.7,17.7,,18.0,2014,10
2014-11-01,64.4,23.0,250.8,5.4,27.5,82.4,25.1,27.0,27.3,50.9,64.9,9.1,31.0,86.0,47.7,69.9,85.6,125.4,71.3,10.6,,14.1,2014,11
2014-12-01,48.2,17.0,245.6,3.7,27.0,82.6,24.7,26.7,27.3,49.6,58.7,8.4,29.8,128.4,68.8,97.1,91.0,164.5,61.8,7.0,,9.1,2014,12
2015-01-01,33.6,6.0,79.6,7.4,26.9,77.6,23.8,26.1,26.3,50.9,84.3,7.7,34.3,58.3,62.6,94.7,50.5,129.7,61.9,4.5,,36.2,2015,1
2015-02-01,10.8,6.0,18.8,7.3,27.0,75.4,23.6,25.8,25.9,46.2,49.8,8.3,32.5,68.9,62.3,106.1,59.2,156.3,88.9,18.7,,36.8,2015,2
2015-03-01,46.0,5.0,84.4,7.3,28.2,75.8,24.8,26.7,26.0,56.3,67.2,7.8,36.0,75.5,53.0,80.4,53.7,127.9,86.8,3.7,,36.1,2015,3
2015-04-01,18.8,13.0,73.2,7.2,28.6,77.1,25.4,27.4,25.1,89.0,72.9,8.4,33.2,78.9,62.0,78.8,56.1,133.3,96.9,5.6,,33.3,2015,4
2015-05-01,22.2,12.0,89.0,5.8,28.7,78.9,25.8,27.3,23.3,84.0,82.7,9.0,38.3,87.6,83.3,101.2,73.3,153.1,85.8,7.7,43.4,37.6,2015,5
2015-06-01,28.4,10.0,95.8,6.7,29.0,75.8,25.6,27.0,24.5,76.0,95.6,10.3,36.8,75.9,78.0,93.9,87.1,190.1,87.4,10.3,23.9,38.2,2015,6
2015-07-01,45.8,13.0,116.8,7.1,29.1,74.9,25.5,27.2,30.0,56.2,83.3,13.8,39.8,94.2,77.8,127.1,82.8,184.5,86.7,7.5,23.8,47.2,2015,7
2015-08-01,63.2,11.0,185.8,6.1,28.4,76.7,25.2,27.0,45.9,108.9,143.5,41.1,93.5,191.4,91.9,137.3,119.7,223.3,74.2,6.6,23.3,59.2,2015,8
2015-09-01,18.4,8.0,61.6,4.3,28.7,75.0,25.2,26.9,19.7,45.4,58.5,9.1,32.5,67.3,44.3,80.7,56.3,115.8,64.1,10.8,36.4,33.9,2015,9
2015-10-01,28.6,9.0,87.2,4.7,28.7,75.4,25.2,27.2,39.5,50.7,64.8,11.2,33.1,69.0,54.7,87.2,54.7,106.2,53.7,6.7,21.3,43.1,2015,10
2015-11-01,25.8,13.0,72.6,4.8,28.0,79.1,25.1,26.7,39.7,50.9,55.1,10.0,32.6,78.9,66.6,74.6,59.4,125.8,70.0,8.8,14.0,44.3,2015,11
2015-12-01,40.4,19.0,302.3,5.3,27.7,81.1,25.1,27.5,23.7,60.1,45.5,16.0,33.0,100.1,73.6,97.0,90.3,187.4,83.1,6.4,9.0,51.0,2015,12
2016-01-01,39.6,15.0,126.6,7.2,28.3,79.6,25.5,27.2,34.8,60.7,47.2,11.3,29.3,64.1,66.7,97.5,54.2,134.9,105.2,6.2,11.5,34.7,2016,1
2016-02-01,71.8,10.0,186.0,6.5,27.8,78.8,24.9,27.0,38.3,50.4,34.7,10.9,25.3,76.8,61.5,91.4,57.6,153.7,121.6,10.8,13.0,31.8,2016,2
2016-03-01,2.4,6.0,6.2,8.0,29.0,74.7,25.4,27.1,68.9,50.8,38.8,11.3,43.2,81.6,56.8,91.0,60.6,144.2,122.8,8.4,11.3,49.9,2016,3
2016-04-01,18.2,14.0,89.8,7.0,29.4,75.6,25.9,27.5,46.3,60.3,35.8,10.3,28.3,66.5,57.8,81.7,54.4,128.0,160.2,4.1,11.2,35.9,2016,4
2016-05-01,54.8,12.0,193.8,6.2,29.3,77.4,26.1,27.7,45.0,76.9,75.5,9.5,29.9,73.7,82.3,101.0,67.5,149.2,74.8,8.9,10.7,43.9,2016,5
2016-06-01,67.8,13.0,162.8,5.4,28.5,77.7,25.4,27.4,32.7,89.0,83.7,10.4,27.2,83.0,67.8,99.3,73.8,144.5,68.0,4.6,10.1,43.4,2016,6
2016-07-01,59.4,20.0,168.6,6.3,28.4,77.3,25.3,27.3,40.7,55.2,69.7,9.8,37.5,87.4,78.8,130.0,89.5,183.8,81.4,6.2,16.3,55.0,2016,7
2016-08-01,30.6,15.0,139.2,6.7,28.9,74.0,25.2,26.9,42.5,93.9,128.0,30.2,122.9,86.3,76.4,132.8,95.8,188.9,183.6,5.5,12.7,50.4,2016,8
2016-09-01,34.0,15.0,118.9,5.5,28.3,73.9,24.6,26.5,50.8,62.7,34.3,7.8,42.3,57.9,48.0,75.0,55.1,119.0,107.3,28.0,12.4,37.8,2016,9
2016-10-01,75.4,16.0,181.0,4.6,28.3,72.0,24.4,27.0,53.6,56.7,55.9,8.2,41.4,69.0,56.5,85.4,75.6,134.9,172.3,15.9,15.8,41.6,2016,10
2016-11-01,65.6,20.0,290.2,3.5,27.4,77.6,24.4,26.8,40.4,56.2,68.0,21.2,39.9,95.0,47.9,67.4,56.9,117.4,49.6,22.8,12.1,40.7,2016,11
2016-12-01,73.0,23.0,292.6,5.1,27.4,72.8,23.6,26.6,40.3,64.6,61.2,19.3,41.2,114.5,71.6,98.0,101.9,198.5,67.8,11.8,9.0,43.1,2016,12
2017-01-01,60.6,21.0,197.6,4.8,26.9,84.8,24.9,27.3,52.2,65.7,61.5,12.4,41.2,78.7,64.5,103.8,73.1,161.9,78.7,15.5,12.7,49.3,2017,1
2017-02-01,31.0,15.0,158.4,7.1,26.9,83.2,24.7,26.7,40.5,69.5,67.4,10.7,40.5,70.4,52.7,92.5,60.8,133.1,88.2,11.3,12.2,57.3,2017,2
2017-03-01,30.2,11.0,136.2,6.1,27.4,82.5,25.0,27.3,37.4,60.7,24.6,14.6,59.5,80.1,50.7,92.6,70.4,145.5,71.6,8.0,14.9,59.7,2017,3
2017-04-01,42.8,21.0,208.6,5.3,27.8,83.5,25.5,27.9,42.5,49.2,11.5,13.9,38.0,59.2,78.3,99.9,74.6,156.6,68.7,8.5,12.5,50.6,2017,4
2017-05-01,44.8,15.0,190.0,5.9,28.5,82.8,26.1,27.8,49.9,58.3,38.7,11.4,38.9,63.5,89.0,109.7,78.8,148.2,71.4,13.8,15.8,48.9,2017,5
2017-06-01,29.6,10.0,106.0,6.3,28.5,80.2,25.8,27.6,48.0,64.1,37.6,15.2,39.1,81.5,77.4,112.6,87.3,160.2,92.8,5.1,11.6,70.0,2017,6
2017-07-01,30.2,9.0,79.6,7.0,28.3,79.6,25.5,27.1,43.4,72.4,30.7,12.0,39.3,94.6,75.7,130.0,91.9,187.5,86.6,6.3,13.9,73.3,2017,7
2017-08-01,29.4,18.0,84.2,6.1,28.1,79.9,25.4,27.1,41.3,190.1,69.2,22.4,72.3,88.6,76.1,139.8,110.8,200.9,83.3,7.7,17.4,60.2,2017,8
2017-09-01,20.2,19.0,124.4,5.7,28.0,81.0,25.4,27.3,28.9,60.8,12.0,8.6,27.0,51.5,59.5,88.6,64.9,134.1,85.8,10.5,17.5,48.2,2017,9
2017-10-01,31.2,18.0,120.8,5.5,27.9,82.5,25.5,27.4,36.9,83.3,21.8,8.7,26.8,69.2,67.1,103.5,77.5,152.1,76.7,13.6,24.5,68.9,2017,10
2017-11-01,45.2,24.0,268.6,4.2,27.1,86.3,25.2,27.6,33.2,60.8,20.0,9.3,25.6,55.9,57.0,75.3,60.4,116.3,68.9,14.0,9.5,57.5,2017,11
2017-12-01,69.8,23.0,371.2,5.6,27.0,85.2,25.0,27.5,34.4,66.6,19.7,8.5,24.9,81.5,79.2,113.5,102.0,195.4,52.1,7.7,14.0,53.8,2017,12
2018-01-01,45.8,25.0,287.0,4.1,26.1,86.6,24.3,26.8,41.9,70.2,29.5,6.7,15.0,57.6,62.8,103.5,67.5,137.8,42.6,13.0,21.0,59.4,2018,1
2018-02-01,13.0,5.0,14.8,8.0,27.2,77.2,24.1,26.6,36.9,74.6,21.9,10.3,15.9,77.7,62.0,114.4,71.8,163.1,53.4,33.0,12.2,65.7,2018,2
2018-03-01,15.2,10.0,44.6,6.4,28.0,78.4,25.0,26.9,46.4,80.3,23.8,8.5,18.7,65.7,65.0,109.6,74.9,158.8,47.9,16.9,15.6,61.6,2018,3
2018-04-01,14.0,14.0,61.2,6.8,28.5,78.5,25.5,27.4,45.6,67.4,13.4,8.9,19.9,49.0,66.0,98.3,71.4,153.0,58.2,15.7,17.4,53.0,2018,4
2018-05-01,47.4,19.0,132.2,5.8,28.7,79.0,25.7,27.2,48.8,80.2,29.1,9.0,16.2,68.7,82.8,112.4,76.6,149.5,52.9,14.3,13.5,59.2,2018,5
2018-06-01,46.8,17.0,182.6,4.1,28.4,79.3,25.6,27.6,44.1,82.9,32.6,12.2,15.6,78.0,71.7,114.2,83.4,167.7,68.5,20.8,16.2,79.7,2018,6
2018-07-01,32.4,10.0,143.2,6.1,28.5,77.7,25.4,26.9,46.7,86.5,28.4,12.1,18.5,97.6,68.6,141.1,93.5,247.7,44.7,10.6,22.3,69.9,2018,7
2018-08-01,34.6,11.0,121.6,6.7,28.5,77.0,25.3,27.2,42.3,131.8,62.6,31.8,38.4,97.2,70.4,156.0,105.4,245.5,53.7,13.3,16.7,67.7,2018,8
2018-09-01,45.0,13.0,144.4,6.0,28.0,77.1,24.8,27.1,37.3,68.9,5.7,11.2,14.4,69.7,49.2,86.7,74.4,159.7,54.6,35.6,19.6,50.6,2018,9
2018-10-01,60.6,18.0,234.4,6.1,27.9,79.7,25.1,27.1,49.7,79.5,12.2,11.1,14.6,68.1,59.9,96.2,75.0,158.4,56.3,14.6,30.7,53.8,2018,10
2018-11-01,20.6,27.0,169.6,3.8,27.3,83.2,25.0,27.0,43.7,68.4,10.8,11.5,13.6,63.3,58.9,87.4,65.5,144.5,59.5,18.0,23.9,58.5,2018,11
2018-12-01,43.8,19.0,172.6,5.1,27.6,81.5,25.1,26.8,41.4,68.9,10.8,10.9,12.5,70.5,71.9,109.6,98.9,223.4,66.9,8.0,12.0,49.7,2018,12
2019-01-01,38.2,9.0,63.6,7.1,28.0,75.6,24.6,26.8,52.0,74.6,7.3,10.2,15.1,71.4,56.5,110.5,70.5,148.8,56.9,17.4,27.3,69.8,2019,1
2019-02-01,13.4,5.0,31.6,9.2,28.2,74.1,24.6,26.3,55.2,82.9,1.1,12.0,14.7,66.7,55.8,113.0,81.2,184.4,65.2,25.7,13.8,63.0,2019,2
2019-03-01,29.0,6.0,72.2,8.3,28.7,72.3,24.7,27.1,65.9,85.6,0.0,10.0,29.8,88.5,57.4,96.4,71.1,149.6,67.8,12.6,22.9,66.7,2019,3
2019-04-01,52.4,9.0,174.8,5.9,28.6,77.6,25.5,27.8,48.5,72.1,0.0,0.0,0.0,63.4,65.1,101.9,74.4,155.4,86.0,12.6,17.5,54.4,2019,4
2019-05-01,17.2,13.0,69.0,7.0,29.3,79.2,26.3,28.8,47.4,66.6,0.0,0.0,0.0,73.8,70.3,111.0,75.0,145.1,133.2,12.3,15.2,81.0,2019,5
2019-06-01,37.6,16.0,173.8,5.3,28.4,79.5,25.6,27.4,58.1,116.3,0.0,0.0,0.0,108.4,73.0,115.9,85.8,181.7,0.0,22.8,18.8,55.9,2019,6
2019-07-01,6.6,8.0,12.2,7.5,29.0,75.2,25.5,27.5,65.0,133.6,0.0,0.0,0.0,129.1,60.9,141.1,89.8,217.3,0.0,14.3,18.8,78.0,2019,7
2019-08-01,3.8,6.0,11.8,7.6,29.1,72.1,25.1,27.1,64.0,186.6,0.0,0.0,0.0,125.0,69.1,158.3,108.1,250.4,0.0,26.4,16.7,70.0,2019,8
2019-09-01,16.4,4.0,22.8,6.7,29.0,73.0,25.2,26.7,63.7,69.2,0.0,0.0,0.0,96.3,147.7,83.2,64.1,146.4,0.0,28.2,13.7,40.4,2019,9
2019-10-01,92.2,15.0,176.8,6.5,28.1,78.1,25.1,26.8,56.0,81.7,0.0,0.0,0.0,77.0,59.9,99.2,82.0,164.0,0.0,13.9,34.1,65.3,2019,10
2019-11-01,73.4,15.0,137.4,5.5,28.0,79.2,25.1,27.3,50.5,64.4,0.0,0.0,0.0,59.8,51.5,81.4,65.9,132.2,0.0,20.9,22.8,58.5,2019,11
2019-12-01,74.2,14.0,421.5,4.8,26.7,83.9,24.6,27.6,44.0,65.7,0.0,0.0,0.0,68.2,64.3,106.2,93.9,192.4,0.0,12.3,14.4,58.4,2019,12
2020-01-01,38.0,6.0,88.4,7.1,27.7,77.9,24.7,26.5,45.9,73.4,0.0,0.0,0.0,65.3,58.3,112.3,75.0,170.7,0.0,28.9,25.7,66.4,2020,1
2020-02-01,23.8,8.0,65.0,8.3,27.9,76.0,24.5,26.7,28.9,42.3,0.0,0.0,0.0,31.5,16.6,42.7,23.7,49.5,0.0,23.3,7.3,38.8,2020,2
2020-03-01,47.4,8.0,108.8,7.6,28.6,75.2,25.1,27.3,14.8,31.9,0.0,0.0,0.0,18.8,12.7,23.8,30.1,64.4,0.0,5.8,5.5,8.0,2020,3
2020-04-01,51.8,12.0,188.0,7.1,28.9,76.4,25.5,27.3,0.0,0.0,0.0,0.0,0.0,1.9,0.7,1.0,1.5,3.6,0.0,0.0,0.0,0.0,2020,4
2020-05-01,53.8,16.0,255.6,5.7,28.9,79.1,26.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,5
2020-06-01,41.0,21.0,233.8,4.3,28.1,80.2,25.4,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,6
2020-07-01,30.4,22.0,140.8,5.7,27.9,78.2,25.0,26.9,10.0,28.6,0.0,0.0,0.0,6.3,17.9,2.4,32.1,67.7,0.0,5.2,1.7,2.4,2020,7
2020-08-01,34.6,12.0,103.4,6.4,28.3,76.8,25.1,27.3,12.8,31.6,0.0,0.0,0.0,10.5,24.4,21.8,39.0,77.6,0.0,7.1,2.3,3.2,2020,8
2020-09-01,32.8,18.0,150.2,4.8,27.5,79.0,24.7,26.6,12.0,19.7,0.0,0.0,0.0,19.3,23.4,20.8,64.7,92.3,0.0,10.4,2.3,3.4,2020,9
2020-10-01,19.0,16.0,78.8,4.3,28.3,75.4,24.9,26.9,13.9,28.6,0.0,0.0,0.0,11.6,26.8,28.8,61.7,100.2,0.0,12.7,2.8,4.7,2020,10
2020-11-01,64.2,19.0,220.6,4.0,27.2,81.7,24.8,26.9,17.8,84.3,0.0,0.0,0.0,21.3,24.1,25.1,60.6,87.8,0.0,6.2,3.4,6.5,2020,11
2020-12-01,58.2,20.0,253.2,5.2,27.2,81.1,24.7,27.9,23.1,84.4,0.0,0.0,0.0,56.6,39.7,64.4,119.7,169.2,0.0,9.4,2.5,10.9,2020,12
2021-01-01,210.6,17.0,692.8,4.2,26.0,82.6,23.7,26.0,19.4,22.9,0.0,0.0,0.0,15.4,90.3,22.4,41.0,54.7,0.0,13.0,8.0,7.0,2021,1
2021-02-01,0.6,2.0,1.0,8.2,27.3,73.8,23.7,26.3,17.9,21.5,0.0,0.0,0.0,9.7,18.8,21.7,42.2,67.2,0.0,20.4,4.4,8.0,2021,2
2021-03-01,38.0,14.0,182.4,7.3,27.9,76.6,24.7,26.7,23.0,32.0,0.0,0.0,0.0,21.3,26.6,46.4,77.2,115.1,0.0,9.7,9.4,12.7,2021,3
2021-04-01,83.8,14.0,290.4,6.8,28.2,77.4,25.1,27.6,21.1,27.2,0.0,0.0,0.0,16.0,19.1,27.8,47.7,64.1,0.0,7.6,9.4,9.5,2021,4
2021-05-01,49.8,13.0,245.8,6.0,28.7,79.3,25.9,27.8,15.3,21.8,0.0,0.0,0.0,7.8,12.3,16.2,31.3,44.9,0.0,6.2,3.2,6.8,2021,5
2021-06-01,23.8,20.0,93.4,6.5,28.5,77.8,25.5,29.3,11.4,20.5,0.0,0.0,0.0,14.1,16.8,21.9,42.5,65.0,0.0,7.7,2.1,4.5,2021,6
2021-07-01,75.0,12.0,195.8,6.8,28.6,76.5,25.4,27.3,15.8,24.7,0.0,0.0,0.0,15.6,12.5,19.3,35.9,77.4,0.0,7.9,2.6,6.7,2021,7
2021-08-01,71.4,24.0,293.6,4.8,27.6,80.4,25.0,27.2,15.7,27.2,0.0,0.0,0.0,11.6,13.1,16.2,37.5,67.8,0.0,6.5,2.4,4.5,2021,8
2021-09-01,63.4,14.0,205.4,6.4,28.3,77.3,25.2,28.8,17.8,25.7,0.0,0.0,0.0,22.5,16.6,21.7,50.4,90.8,0.0,31.1,2.9,4.9,2021,9
2021-10-01,59.6,14.0,177.0,6.2,28.5,78.3,25.5,27.7,14.4,24.6,0.0,0.0,0.0,14.3,11.9,18.9,40.5,64.5,0.0,5.8,4.5,5.2,2021,10
2021-11-01,47.8,23.0,312.4,4.9,27.6,81.7,25.1,27.6,15.2,30.0,0.0,0.0,0.0,24.6,15.2,19.0,47.0,70.6,0.0,7.8,3.0,7.5,2021,11
2021-12-01,46.8,15.0,119.6,5.4,27.7,79.7,25.0,27.0,20.1,56.3,0.0,0.0,0.0,63.4,37.6,48.2,96.8,147.8,0.0,8.8,3.1,10.0,2021,12
2022-01-01,50.0,9.0,99.8,8.3,27.4,77.4,24.4,26.5,18.8,31.7,0.0,0.0,0.0,21.5,14.7,24.4,56.6,73.2,0.0,3.3,7.1,9.1,2022,1
2022-02-01,29.6,16.0,175.0,5.9,27.3,80.3,24.6,26.7,14.4,36.0,0.0,0.0,0.0,16.5,12.7,18.9,48.1,65.8,0.0,5.2,2.5,6.6,2022,2
2022-03-01,36.2,21.0,163.2,6.4,28.1,79.2,25.3,27.8,17.1,43.9,0.0,0.0,0.0,32.8,18.2,29.5,63.4,85.1,0.0,1.9,3.7,9.4,2022,3
2022-04-01,58.8,18.0,239.6,5.2,28.1,80.0,25.4,27.6,19.3,36.7,0.0,0.0,0.0,29.1,18.1,29.9,52.8,66.2,0.0,1.9,5.1,17.1,2022,4
2022-05-01,44.6,12.0,102.0,6.7,29.2,76.5,25.9,27.8,23.6,51.8,0.0,0.0,0.0,38.8,20.0,40.3,67.7,92.6,0.0,3.7,8.5,23.3,2022,5
2022-06-01,59.4,17.0,211.8,4.7,27.9,79.1,25.1,27.0,30.0,84.5,0.0,0.0,0.0,64.1,29.2,54.6,76.7,105.5,0.0,3.2,7.3,21.0,2022,6
2022-07-01,27.8,16.0,145.2,6.2,28.6,76.8,25.4,27.4,31.9,84.2,0.0,0.0,0.0,32.5,23.3,59.1,65.5,101.2,0.0,3.4,10.6,25.5,2022,7
2022-08-01,32.4,15.0,141.4,5.5,28.1,77.4,25.1,28.6,31.9,100.4,0.0,0.0,0.0,25.6,17.8,52.7,63.8,88.8,0.0,6.0,9.3,25.2,2022,8
